IMAGE_SCHEMA_ANNOTATION,LinguisticExamples,Language
FORCE,We aren’t getting anyplace.,en
FORCE,We are going nowhere with this.,en
FORCE,He hadn't made much headway in writing the termpaper.,en
FORCE,I'm afraid I haven't gotten very far in grading the exams.,en
FORCE,In London sind die Kurse … zurückgegangen.,en
FORCE,The market eased back from its recent advance.,en
FORCE,The province is quite close to sliding into civil war.,en
FORCE,I came out of my depression.,en
FORCE,He went crazy.,en
FORCE,He went over the edge.,en
FORCE,She entered a state of euphoria.,en
FORCE,He fell into a depression.,en
FORCE,He went deeper into his depression.,en
FORCE,"In the sun, the clothes went from wet to dry in an hour.",en
FORCE,"In the sun, the clothes went from wet to dry in an hour.",en
FORCE,He went from innocent to worldly.,en
FORCE,She was nearly insane.,en
FORCE,He slipped into a depression.,en
FORCE,His hair went gray.,en
FORCE,He went from laughing to crying.,en
FORCE,She was nearly crying.,en
FORCE,He went back to/returned to polishing the silver.,en
FORCE,My car has gone from bad to worse lately.,en
FORCE,I got a headache.,en
FORCE,My headache went away.,en
FORCE,The noise gave me a headache.,en
FORCE,The aspirin took away my headache.,en
FORCE,The council brought the project into compliance with state regulations.,en
FORCE,This book will guide you step by step how to apply for citizenship.,en
FORCE,cash flow,en
FORCE,The money is gushing out of my retirement account.,en
FORCE,He can exert his influence on her.,en
FORCE,Her influence was strong.,en
FORCE,She could bend his will.,en
FORCE,Reagan brought pressure to bear upon his cabinet.,en
FORCE,I was moved by the poem.,en
FORCE,I was pushed into depression.,en
FORCE,She was carried away by the song.,en
FORCE,He was struck by anger.,en
FORCE,I was moved by the poem.,en
FORCE,I can feel the good vibrations.,en
FORCE,I can feel the good vibrations.,en
FORCE,felt a sudden restlessness like that of a ship pulling against its moorings.,en
FORCE,"expressed in multiple movements, wasted, unnecessary, like the tu- mult of wind or water",en
FORCE,making for tumult and motion,en
FORCE,"But inevitably, she would grow restive and tumultuous, chaotic and disturbed.",en
FORCE,"The same irresistible impulse, tension, compulsion and then depression following the yielding to the impulse, revulsion, bitterness, depression, and the compulsion once more.",en
FORCE,All the tensions of pretences ceased.,en
FORCE,and not a chaos which carried her.,en
FORCE,her own nerves did not coil and spring within her,en
FORCE,"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured.",en
FORCE,add heavily to the weights pulling her downward,en
FORCE,she carried too great a weight of untold stories,en
FORCE,her mood of weight and fatigue.,en
FORCE,At the same time a strange wave of anger appeared which she felt and could not understand.,en
FORCE,"But inevitably, she would grow restive and tumultuous, chaotic and disturbed",en
FORCE,"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured so that she no longer knew even the re- lief of ebbs and flows and dispersions.",en
FORCE,Anxiety had entered her body and refused to run through it.,en
FORCE,"The silvery holes of her sieve against sorrow granted her at birth, had clogged.",en
FORCE,It was a stormy meeting.,en
FORCE,climate of anger,en
FORCE,flood of anger,en
FORCE,surge of anger,en
FORCE,wave of anger,en
FORCE,anger surge,en
FORCE,anger roil in(side) of someone,en
FORCE,anger sweeps him beyond emotion,en
FORCE,anger washes over her,en
FORCE,anger washes through him,en
FORCE,anger subsides away,en
FORCE,anger ebbs away,en
FORCE,let anger unroll like a wave,en
FORCE,staunches anger,en
FORCE,haven from anger,en
FORCE,She was engulfed by panic,en
FORCE,wave of fear,en
FORCE,He was swept off his feet,en
FORCE,flood of joy,en
FORCE,surge of joy,en
FORCE,joy surges through them,en
FORCE,joy sweeps over her,en
FORCE,joy sweeps through him,en
FORCE,to be swept away by joy,en
FORCE,joy subside,en
FORCE,She was overwhelmed with joy.,en
FORCE,We were carried away with happiness.,en
FORCE,He was swept off his feet.,en
FORCE,I was bowled over.,en
FORCE,They were transported.,en
FORCE,That was a terrible blow.,en
FORCE,Waves of depression came over him.,en
FORCE,rushes of sadness,en
FORCE,waves of sadness,en
FORCE,sadness sweeps over her,en
FORCE,sadness washes over them,en
FORCE,They were drawn to each other.,en
FORCE,He found the brussel sprouts repulsive.,en
FORCE,Tom Hanks is very attractive.,en
FORCE,I was forced to do it.,en
FORCE,I could feel the electricity between us.,en
FORCE,There were sparks.,en
FORCE,I was magnetically drawn to her.,en
FORCE,They are uncontrollably attracted to each other.,en
FORCE,They gravitated to each other immediately.,en
FORCE,The atmosphere around them is always charged.,en
FORCE,There is incredible energy in their relationship.,en
FORCE,They lost their momentum.,en
FORCE,She knocked me out.,en
FORCE,I was bowled over by him.,en
FORCE,We were immediately attracted to each other.,en
FORCE,There was a magnetism between us.,en
FORCE,We were drawn to each other.,en
FORCE,He swept her off her feet.,en
FORCE,The hit sent the crowd into a frenzy.,en
FORCE,FDR’s leadership brought the country out of the depression.,en
FORCE,The home run threw the crowd into a frenzy.,en
FORCE,The home run threw the crowd into a frenzy.,en
FORCE,Their negotiations pulled both sides from the brink of war.,en
FORCE,That experience pushed him over the edge.,en
FORCE,Her speech moved the crowd to rage.,en
FORCE,The news propelled the stock market to record heights.,en
FORCE,The trial thrust O.J.’s attorneys into the limelight.,en
FORCE,We’ve accelerated the building of the new bridge.,en
FORCE,They pushed the bill through Congress.,en
FORCE,California Cities Struggling Under Wave of Corruption,en
FORCE,FIFA facing corruption 'tsunami',en
LINK,There’s strong bond between them.,en
LINK,having connections,en
LINK,breaking social ties,en
LINK,the bonds of slavery,en
OBJECT,Seize the opportunity.,en
OBJECT,Don’t lose this opportunity.,en
OBJECT,Don’t let the opportunity pass you by.,en
OBJECT,You have to make your own opportunities.,en
OBJECT,I’ve had 3 opportunities to meet him.,en
OBJECT,You rarely find that kind of opportunity.,en
OBJECT,We've got plenty of chances left.,en
OBJECT,I've squandered every opportunity to advance my career.,en
OBJECT,I want control over my own existence.,en
OBJECT,The dodo disappeared in the 1600s.,en
OBJECT,Sally gave the idea to Sam.,en
OBJECT,Sally took the idea from Sam.,en
OBJECT,Sally traded ideas with Sam.,en
OBJECT,Sally sold the idea to the highest bidder.,en
OBJECT,IBM bought the idea from him.,en
OBJECT,Sally has an idea.,en
OBJECT,Sally put the idea aside.,en
OBJECT,Sally threw the idea at Sam.,en
OBJECT,Sally lost her idea.,en
OBJECT,Sally found an idea in the book.,en
OBJECT,Sally carries that idea around with her all the time.,en
OBJECT,Sally searched for an idea all day.,en
OBJECT,It`s difficult to put my ideas into words.,en
OBJECT,What’s the matter?,en
OBJECT,"The distribution of sex cells, however, was a different matter.",en
OBJECT,It is difficult for unilateralists to admit there is another side to the missile question.,en
OBJECT,That is a very hard question to answer.,en
OBJECT,It’s a tough problem.,en
OBJECT,Let us turn to less weighty matters.,en
OBJECT,You'd need an electron microscope to find the point of this essay.,en
OBJECT,The meaning is right there in the words.,en
OBJECT,His words carry little meaning.,en
OBJECT,Don’t force your meaning into the wrong words.,en
OBJECT,The sentence is without meaning.,en
OBJECT,Hast du etwas Zeit für mich?,de
OBJECT,Wir haben noch viel/jede Menge/reichlich Zeit.,de
OBJECT,Dafür musst du etwas Zeit mitbringen.,de
OBJECT,Don't waste your time.,en
OBJECT,Our time is valuable.,en
OBJECT,We don't have much time.,en
OBJECT,Stars whose careers collapsed in a relatively short amount of time,en
OBJECT,How to make a career out of things you would do even for free.,en
OBJECT,The noise is giving me a headache.,en
OBJECT,"Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood? ",en
OBJECT,Let's toss some ideas around.,en
OBJECT,He just can't seem to grasp the concept.,en
OBJECT,He got a good handle on the subject matter.,en
OBJECT,The oil spill has caused a shock to the environment.,en
OBJECT,Smog pollution is an environmental malaise.,en
OBJECT,Ecologists are nursing the Bay back to health.,en
OBJECT,She has a nice sense of humor.,en
OBJECT,He lost his tolerance for alcohol.,en
OBJECT,She gained a new equanimity.,en
OBJECT,He got his red hair from his mother.,en
OBJECT,He gave his son a sense of self-worth.,en
OBJECT,He gives his art a certain integrity.,en
OBJECT,Harry has trouble.,en
OBJECT,I have a headache.,en
OBJECT,She has a sunny disposition.,en
OBJECT,This place has lost a lot of its charm.,en
OBJECT,The new mustache gave him an older appearance.,en
OBJECT,"The dummies were 2-to-1 in favor of the Arizona immigration law; the court gutted it. Only those dummies, not in a state of denial, understand that we the people have lost control of our government. ",en
OBJECT,"But meanwhile, you may not have noticed that our government gave away control of the Internet. ",en
OBJECT,"You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on. ",en
OBJECT,"The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party ",en
OBJECT,Her ego is very fragile.,en
OBJECT,You have to handle him with care since his wife’s death.,en
OBJECT,He broke under cross-examination.,en
OBJECT,She is easily crushed.,en
OBJECT,The experience shattered him.,en
OBJECT,His mind snapped.,en
OBJECT,He cracked up.,en
OBJECT,Do the exercises at the end of this chapter.,en
OBJECT,She came to a calculated decision.,en
OBJECT,We're still trying to grind out the solution to this equation.,en
OBJECT,My mind isn't operating today.,en
OBJECT,Boy the wheels are turning now!,en
OBJECT,I'm a little rusty today.,en
OBJECT,We've been working on this problem all day and now we're running out of steam.,en
OBJECT,sharp anger,en
OBJECT,pinpoint of anger,en
OBJECT,spike of anger,en
OBJECT,hook of anger,en
OBJECT,blunted anger,en
OBJECT,anger clips his words,en
OBJECT,prick/shaft of fear,en
OBJECT,fear cuts to her,en
OBJECT,fear slices through Mary,en
OBJECT,I was beside myself,en
OBJECT,He destroys her joy,en
OBJECT,She breaks his joy,en
OBJECT,disgust be spur,en
OBJECT,shaft of disgust,en
OBJECT,heavy disgust,en
OBJECT,It outweighs disgust,en
OBJECT,Are you going to the race?,en
OBJECT,Did you see the race?,en
OBJECT,He’s seeking his fortune.,en
OBJECT,He’s flaunting his new-found wealth.,en
OBJECT,He’s a fortune-hunter.,en
OBJECT,She’s a gold-digger.,en
OBJECT,He lost his fortune.,en
OBJECT,He’s searching for wealth.,en
OBJECT,Let’s look at the make-up of this problem.,en
OBJECT,Let’s look at all the components of the problem.,en
OBJECT,A lot of factors went into creating this problem.,en
OBJECT,Das ist seine Seite des Dilemmas.,de
OBJECT,…das Verhältnis zwischen Deutschen und Ausländern zu beschädigen.,de
OBJECT,Je näher man die Politik betrachte…,de
OBJECT,Sabbatai Zwis Auftreten…wuchs sich zu einem handfesten Skandal aus.,de
OBJECT,…Maßnahmen ergreifen.,de
OBJECT,…im Besitz der absoluten Mehrheit?,de
OBJECT,"…konnten es kaum fassen, dass…",de
OBJECT,…trägt alle Umweltinformationen…zusammen.,de
OBJECT,…Wissenslücken.,de
OBJECT,My mind was racing.,en
OBJECT,My mind is tired.,en
OBJECT,I see what you mean.,en
OBJECT,Something doesn't smell quite right here.,en
OBJECT,Listen to what your father tells you.,en
OBJECT,"I have no idea what my friends are doing, they've kept me completely in the dark.",en
OBJECT,"I've almost got an idea, but I can't quite put my finger on it.",en
OBJECT,I could never put my finger on what the problem was. I felt crazy at times and there were so many times that I would approach him with a very well-thought out ...,en
OBJECT,The marks on the carpet show that the perpetrator wore boots.,en
OBJECT,Let me illustrate the theory with some examples.,en
OBJECT,I'm now going to show you that you are wrong.,en
OBJECT,He pointed out that global warming is real.,en
OBJECT,Do I have to draw a picture for you?,en
OBJECT,He painted an idyllic picture of their life together.,en
OBJECT,"For many weeks, I couldn't see how to solve the problem.",en
OBJECT,"I see that the two lines must be equal, but I don't know how to prove it.",en
OBJECT,"…scharfe, stechende und durchbohrende Blicke…",de
OBJECT,…die Wirklichkeit in den Griff zu bekommen.,de
OBJECT,…importiert das alte Westdenken…,de
OBJECT,…droht die Kontrolle…zu entgleiten.,de
OBJECT,Sie bringen die Zukunft in die Stadt.,de
OBJECT,Die von Ernst triefende linke Argumentation wird der Ironie und dem Sarkasmus der Reaktionäre gegenübergestellt.,de
OBJECT,…die Erfahrungen...zu der Doktrin bündeln…,de
OBJECT,"Mit das Solideste, was einem Menschen…zufallen kann, ist die…Ansicht…",de
OBJECT,…Erfahrungen gesammelt.,de
OBJECT,Vorerst liegt eine Tatsache klar auf der Hand…,de
OBJECT,…massive Probleme…,de
OBJECT,…regneten die Signale auf die Antennenschüssel,de
OBJECT,…nachdem er das Staatsamt aus den Händen gegeben hatte.,de
OBJECT,Diesen Vorwurf…will der Vorsitzende…nicht im Raum stehen lassen.,de
OBJECT,…erhärtet sich vielmehr der Verdacht…,de
OBJECT,Die Beziehung zerbricht Ende 1978.,de
OBJECT,…indem sie Dänemark vor vollendete Tatsachen stellten.,de
OBJECT,…den…eingefrorenen sozialen Dialog…,de
OBJECT,Sie haben Schicksal selbst in die Hand genommen.,de
OBJECT,Die Skispringer tragen die deutschen Hoffnungen bei der nordischen Weltmeisterschaft…,de
OBJECT,…ein Stück ökonomischen Souveränität…,de
OBJECT,…für eine Reihe von Fragen…,de
OBJECT,Aber in den Plädoyers…steckt doch wieder mehr Ehrlichkeit…,de
OBJECT,…eine Menge Gründe…,de
OBJECT,Es war keine Spur von Ironie in diesen Worten…,de
OBJECT,…Paket von Maßnahmen…,de
OBJECT,…ein Stückchen Angst…,de
OBJECT,…Verknappung der Zivilcourage.,de
OBJECT,…die sich nun häufenden Meldungen…,de
OBJECT,…einen Minimalvorrat an Solidarität angesammelt haben.,de
OBJECT,Mit dem  Bergbau bricht ein wichtiger Teil der nationalen Identität weg.,de
OBJECT,…eine Anhäufung so vieler Probleme…,de
OBJECT,Mit reichlich Unverständnis…,de
OBJECT,Hinter den vagen Befürchtungen der Menschen stehen im übrigen konkrete Sorgen…,de
OBJECT,An erster Stelle stehen die Kosten…,de
OBJECT,Natürlich stecke in den Verhandlungen mit der SPD eine gewisse Gefahr…,de
OBJECT,Wo bleibt da die Gerechtigkeit?,de
OBJECT,Die Schuldfrage – am Anfang stand die Lüge – bleibt auf dem Tisch.,de
OBJECT,Wo der Kanzler im Bundestag die Zweidrittelmehrheit sucht…,de
OBJECT,Teilweise stand dahinter wohl die Überlegung…,de
OBJECT,Sie [die Antwort] liegt…zwischen beiden Positionen…,de
OBJECT,Wenn ihre Begabungen und Neigungen woanders liegen…,de
OBJECT,Der Hohn…der in der Sinnverkehrungsthese liegt…,de
OBJECT,Hinter den divergierenden Inflationsraten…wird ein strukturelles Dilemma sichtbar…,de
OBJECT,Wo liegt dann das Problem bei Bush?,de
OBJECT,Doch hinter der gegenwärtigen Schwäche könnte auch mehr stecken.,de
OBJECT,…die Wahrheit irgendwo zwischen der Position von Margaret Thatcher und der von Arthur Scargill zu suchen war.,de
OBJECT,The plans for the trip have finally been firmed up.,en
OBJECT,Next year's budget is fairly solid at this point.,en
OBJECT,He lost his faith.,en
OBJECT,He got rid of his headache.,en
OBJECT,The US handed over control of the prisoners to Afghan authorities.,en
OBJECT,The Democrats wrested control of four governerships from the Republicans,en
OBJECT,The government acquired control of the company's assets.,en
OBJECT,One down of the three pillars of “unalienable” rights that hold up this great country of ours.,en
OBJECT,"This is an us against-them battle, but the “them” are those who would dismantle our rights. ",en
OBJECT,Don't let anyone take away your right to vote.,en
OBJECT,The government's move to censor the internet is trampling all over our rights to free speech and freedom of the press.,en
OBJECT,He has control over all the workers.,en
OBJECT,The president kept his hold on power.,en
OBJECT,She regained control of the assembly.,en
OBJECT,He possesses the power to heal small animals.,en
OBJECT,He's putty in her hands.,en
OBJECT,You gave me a great idea!,en
OBJECT,Try to pack more thoughts into fewer words.,en
OBJECT,Whenever you have a good idea practice capturing it in words.,en
OBJECT,Don't force your meanings into the wrong words.,en
OBJECT,Try to get your thoughts across better.,en
OBJECT,You still have to give me an idea of what you mean.,en
OBJECT,We have to restructure this firm.,en
OBJECT,Every new bill the President proposes chips away at our freedoms.,en
OBJECT,Imposing martial law will undermine the very foundations of democracy.,en
OBJECT,Do gun rights protect against tyranny?,en
OBJECT,plant the seeds of democracy,en
OBJECT,democracy blossoms,en
OBJECT,democracy for sale,en
OBJECT,force-feed the economy back to health,en
OBJECT,Withered government: leave it to the rich,en
OBJECT,"Government is not a machine, but a living thing. It falls, not under the theory of the universe, but under the theory of organic life. It is accountable to Darwin, not to Newton. It is modified by its environment, necessitated by its tasks, shaped to its functions by the sheer pressure of life. No living thing can have its organs offset against each other, as checks, and live.",en
OBJECT,This responsibility falls squarely on the shoulders of the government.,en
OBJECT,"Obama, Dems flex muscles on energy policy as platform embraces options",en
OBJECT,China Using Government Muscle to Turbo Charge its Auto Industry,en
OBJECT,India government regains its muscle with reforms,en
OBJECT,the gun lobby has squashed federal funding,en
OBJECT,It was a traumatic experience.,en
OBJECT,Her death hurt him.,en
OBJECT,The accusation wounded her.,en
OBJECT,He’s mentally ill/fit.,en
OBJECT,My pride was wounded.,en
OBJECT,"She recovered from the wound to her psyche, but scars remained.",en
OBJECT,International Poll Finds U.S. Still Viewed As World's Bully,en
OBJECT,Another round of cuts will cripple the economy.,en
OBJECT,Cynicism has killed the gun-control debate,en
OBJECT,oppressive shackles of gun control,en
OBJECT,I believe in personal responsibility and the government shouldn't be a babysitter but I also believe in compassion for less advantageous people.,en
OBJECT,"Can I decide what size soda I want to drink? No, that’s the nanny state’s job. ",en
OBJECT,The Syrian government is driving Syria into a dangerous zone.,en
OBJECT,The current Japanese government is steering the country toward Socialism.,en
OBJECT,"Signal left, turn right: central rhetoric and local reform in China.",en
OBJECT,"In my view, the federal government should lead the way. The bill we’ve introduced requires the federal government to increase its use of renewable electricity and reduce its overall energy consumption in federal buildings, both new and old. We can’t expect consumers to embrace energy efficient technology if their government does not do the same.",en
OBJECT,Parents are so uneducated about health that they will follow the government down any misguided path.,en
OBJECT,Big Father: The Government as Parent,en
OBJECT,"Doctrine of Parens Patriae."" Parens Patriae means literally, ""parent of the country."" It refers traditionally to the role of STATE as sovereign and guardian of persons under legal disability. ",en
OBJECT,"The US government loves you. In fact, it loves you so much that it’s willing shackle your legs together. Just to protect you – tough love, baby. Now, it may hurt a bit but just try to breathe through the pain. Remember – it hurts the government more than it hurts you. ",en
OBJECT,"A proper government is only a policeman, acting as an agent of man’s self-defense, and, as such, may resort to force only against those who start the use of force.",en
OBJECT,The government should cater to the needs of its citizens.,en
OBJECT,Citizen Sheep Government Shepherds,en
OBJECT,"Such a power does not destroy, but it prevents existence; it does not tyrannize, but it compresses, enervates, extinguishes, and stupefies a people, till each nation is reduced to nothing better than a flock of timid and industrious animals, of which the government is the shepherd. ",en
OBJECT,Obama and the Progressives do not believe this. They believe they must decide what is best. In their view Americans are sheep and they are the shepherd.,en
OBJECT,"There can be no doubt that the federal government is the new slave master, something the Founding Fathers warned us against. ",en
OBJECT,"Government should be a referee, not an active player",en
OBJECT,The economy is falling apart.,en
OBJECT,"With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune? ",en
OBJECT,"Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,",en
OBJECT,"With a heavy Republican majority, Congress churned out bill after bill. ",en
OBJECT,"With a unified House and Senate, the well-oiled gears of government turn smoothly. ",en
OBJECT,I look forward to helping keep the legislative wheels turning smoothly in our 105-day session.,en
OBJECT,Cloture would make the legislative gears turn smoothly.,en
OBJECT,"Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form. ",en
OBJECT,The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.,en
OBJECT,A good education is a powerful resource.,en
OBJECT,"Like some it is supposed to serve, Massachusetts government has become flabby. ",en
OBJECT,Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government,en
OBJECT,"Tax Revolt: The Rebellion Against an Overbearing, Bloated, Arrogant, and Abusive Government ",en
OBJECT,Tom Barrett: Put state government on a diet,en
OBJECT,"Our state government, a well oiled machine of efficiency. ",en
OBJECT," If the injustice is part of the necessary friction of the machine of government, let it go, let it go: perchance it will wear smooth--certainly the machine will wear out. If the injustice has a spring, or a pulley, or a rope, or a crank, exclusively for itself, then perhaps you may consider whether the remedy will not be worse than the evil; but if it is of such a nature that it requires you to be the agent of injustice to another, then I say, break the law. Let your life be a counter-friction to stop the machine. What I have to do is to see, at any rate, that I do not lend myself to the wrong which I condemn. ",en
OBJECT,"They had elected him (Jackson) to conduct the Government and to keep and remove its moneys, and he meant to do so on the principle that it was a simple machine. ",en
OBJECT,"More especially, the analogy mentioned between institutions and machines must not be interpreted as proposing the theory that institutions are machines—in some essentialist sense.",en
OBJECT,I would venture to conclude from this that institutions are vehicles of subcultures driven by groups of people with a common destination,en
OBJECT,"May 27, 2011 – The “health” of an institution is measured by the effectiveness of its organization and mission, and also by how well it plans for the future.",en
OBJECT,The Crumbling Walls of the Roman Catholic Church,en
OBJECT,Institutional reform,en
OBJECT,"It is how, in every Western country, trust in government has suddenly, dramatically collapsed in the crisis' aftermath. ",en
OBJECT,We are working hard to rebuild the trust of our customers.,en
OBJECT,The scandals have shaken the foundations of trust in the market.,en
OBJECT,"Their practices and policies have put them right in the cross hairs and it is only a matter of time before someone pulls the trigger. When that happens, one will be left to wonder whether it is a suicide, a homicide or a mercy killing.",en
OBJECT,"But as much as the U.S. wants to be close-knit friends with Canada, Canada ... Same can't be said about many other countries in the world that ... ",en
OBJECT,Which country is your country's best friend?,en
OBJECT,Rising food prices can topple governments,en
OBJECT,Afghanistan's government could collapse after 2014.,en
OBJECT,You have to set your jealousy aside.,en
OBJECT,He hid his love from her.,en
OBJECT,She gave him a push.,en
OBJECT,He gave me a vicious kick.,en
OBJECT,A large force is needed to move a heavy object.,en
OBJECT,The rebels wrested control of the capital city from the ruling party in a bloody coup.,en
OBJECT,We need to strengthen our civil liberties.,en
OBJECT,The government must shore up support for our religious freedoms.,en
OBJECT,"This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in. ",en
OBJECT,Food for thought must be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected,en
OBJECT,They're just half-baked ideas.,en
OBJECT,Just give me the raw facts.,en
OBJECT,I need to put this on the back burner for a while.,en
OBJECT,I haven't fully digested the main gist of that paper.,en
OBJECT,He has an appetite for learning.,en
OBJECT,He has an insatiable curiosity.,en
OBJECT,She's the kind of person you always need to sugar-coat it for to get her to do anything.,en
OBJECT,"Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media ",en
OBJECT,The very thought of it makes me sick.,en
OBJECT,That's bullshit!,en
OBJECT,You'd need an electron microscope to find the point of this essay.,en
OBJECT,The theory of relativity gave birth to an enormous number of ideas in physics.,en
OBJECT,He is the father of modern biology.,en
OBJECT,Whose brainchild was that?,en
OBJECT,Look at what his ideas have spawned.,en
OBJECT,Those ideas died off in the Middle Ages.,en
OBJECT,His ideas will live on forever.,en
OBJECT,Cognitive psychology is still in its infancy.,en
OBJECT,That's an idea that ought to be resurrected.,en
OBJECT,He breathed new life into that idea.,en
OBJECT,I have an idea.,en
OBJECT,She gave me a good idea.,en
OBJECT,Keep your opinion to yourself!,en
OBJECT,This gives me a great idea!,en
OBJECT,I got a much better idea of what was going on after the last meeting.,en
OBJECT,"She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly.",en
OBJECT,Her experience gave her a great deal of knowledge.,en
OBJECT,Hold on to your beliefs and never let them go.,en
OBJECT,Shatter the rules of the market economy,en
OBJECT,How to Build A Law,en
OBJECT,dismantle gun laws,en
OBJECT,Out of these discussions will grow legislation of farreaching importance.,en
OBJECT,"In a democratic government, authority is given to it by the people. ",en
OBJECT,"If you soak it in water, the wood will lose its rigidity. ",en
OBJECT,"Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad. ",en
OBJECT,The president drove the nation into a ditch.,en
OBJECT,Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back',en
OBJECT,Where was he when he drove our country off a cliff?,en
OBJECT,The president is steering the country into unknown waters.,en
OBJECT,Scuttling the Ship of State to appease climate activists.,en
OBJECT,Our country is burdened by debt and that may sink us in the rough waters ahead.,en
OBJECT,Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.,en
OBJECT,"Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!",en
OBJECT,Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State,en
OBJECT,"This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,",en
OBJECT,They represent the brick and mortar of our nation's developing infrastructure.,en
OBJECT,Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed.,en
OBJECT,"The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy.",en
OBJECT,Infrastructure: The Foundation for Wealth and Poverty Reduction,en
OBJECT,Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared,en
OBJECT,No one built this country on their own. This nation is great because we built it together.,en
OBJECT,"If the President doesn't show some leadership, the country will grind to a halt.",en
OBJECT,...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.,en
OBJECT,We must rouse our nation from its slumber.,en
OBJECT,"Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life.",en
OBJECT,Only one thing stands between Western civilization and chaos: the United States.,en
OBJECT,"... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future.",en
OBJECT,"To start with, everything we are made of and everything we make comes from the environment.",en
OBJECT,3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P,en
OBJECT,"Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:) ",en
OBJECT,"Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back",en
OBJECT,"Since the enactment of SB 163 (Evans), the three branches of state government have been working smoothly in the transition process called for in that landmark legislation.",en
OBJECT,The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.,en
OBJECT,Which part of the theory don't you agree with?,en
OBJECT,I admire the way this automated collection system is put together.,en
OBJECT,Bloom where you are planted.,en
OBJECT,The young man is rather green and does not have enough experience to drive the large machinery.,en
OBJECT,We saw the withered old woman.,en
OBJECT,Tips on how to cultivate openness to change.,en
OBJECT,fledgling democracy,en
OBJECT,democracy spreads its wings,en
OBJECT,They are rocking the ship of state.,en
OBJECT,Dirt threatens to sink ship of state,en
OBJECT,We are not free from the creeping vines of poverty.,en
OBJECT,Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.,en
OBJECT,He holds all the power.,en
OBJECT,"I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought.",en
OBJECT,It takes work to build any relationship.,en
OBJECT,The relationship fell apart.,en
OBJECT,Our relationship is rock solid.,en
OBJECT,She has a fragile relationship with her mother as it is.,en
OBJECT,Their relationship is built on a solid foundation of trust and commitment.,en
OBJECT,The coup toppled the brutal dictatorship.,en
OBJECT,The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe,en
OBJECT,His eyes scoured the horizon.,en
OBJECT,I smell a rat.,en
OBJECT,He's looking for meaning in his life and isn't finding any,en
OBJECT,Cop scandals fray the social fabric.,en
OBJECT,"Thus, we must reweave the torn fabric of rural American with thread strong enough to withstand the inevitable ravages of time. ",en
OBJECT,He's about to rock the foundations of the literary establishment with his novel.,en
OBJECT,"By early afternoon, queues were already building up. ",en
OBJECT,My business is growing like a weed.,en
OBJECT,"Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ... ",en
OBJECT,Our society is suffering from many social problems.,en
OBJECT,Pam Gulleson: “Social Security Isn’t Broken”,en
OBJECT,Hempsted Building Department is broken,en
OBJECT,Opponents tried to dismantle the theory piece by piece.,en
OBJECT,This theory has a solid foundation.,en
OBJECT,The theoretical framework needs to be filled in with empirical data.,en
OBJECT,Her theory requires the reader to understand many interconnected factors.,en
