IS_ANNOTATION,LinguisticExamples
OBJECT,"Since the enactment of SB 163 (Evans), the three branches of state government have been working smoothly in the transition process called for in that landmark legislation."
OBJECT,The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.
OBJECT,Which part of the theory don't you agree with?
OBJECT,I admire the way this automated collection system is put together.
OBJECT,Bloom where you are planted.
OBJECT,The young man is rather green and does not have enough experience to drive the large machinery.
OBJECT,We saw the withered old woman.
OBJECT,Tips on how to cultivate openness to change.
OBJECT,fledgling democracy
OBJECT,democracy spreads its wings
OBJECT,They are rocking the ship of state.
OBJECT,Dirt threatens to sink ship of state
OBJECT,We are not free from the creeping vines of poverty.
OBJECT,Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.
OBJECT,He holds all the power.
OBJECT,"I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought."
OBJECT,It takes work to build any relationship.
OBJECT,The relationship fell apart.
OBJECT,Our relationship is rock solid.
OBJECT,She has a fragile relationship with her mother as it is.
OBJECT,Their relationship is built on a solid foundation of trust and commitment.
OBJECT,The coup toppled the brutal dictatorship.
OBJECT,The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe
OBJECT,His eyes scoured the horizon.
OBJECT,I smell a rat.
OBJECT,He's looking for meaning in his life and isn't finding any
OBJECT,Cop scandals fray the social fabric.
OBJECT,"Thus, we must reweave the torn fabric of rural American with thread strong enough to withstand the inevitable ravages of time."
OBJECT,He's about to rock the foundations of the literary establishment with his novel.
OBJECT,"By early afternoon, queues were already building up."
OBJECT,My business is growing like a weed.
OBJECT,"Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ..."
OBJECT,Our society is suffering from many social problems.
OBJECT,Pam Gulleson: “Social Security Isn’t Broken”
OBJECT,Hempsted Building Department is broken
OBJECT,Opponents tried to dismantle the theory piece by piece.
OBJECT,This theory has a solid foundation.
OBJECT,The theoretical framework needs to be filled in with empirical data.
OBJECT,Her theory requires the reader to understand many interconnected factors.
OBJECT,We spent all day at the fair.
OBJECT,Time-theft
OBJECT,"Despite the debt crisis, the welfare bureaucracy continued to hum along, producing checks every month."
OBJECT,Government steals the people's wealth through overt and hidden taxes
OBJECT,America Tax Slaves Work 6.5 Months Every Year to Pay for Government
OBJECT,"The state cannot pay its bills and poorly educates its young, and its taxation punishes whatever success that its suffocating regulatory regime does not prevent."
OBJECT,High sales taxes hurt local small businesses.
OBJECT,We are being taxed to death!
OBJECT,"According to the Tax Foundation, Texas residents on average shoulder the fifth lowest tax burden compared to other residents in the 50 states."
OBJECT,"The Obama campaign is taking a swipe at Mitt Romney's tax plan in a new television ad, saying it will create a ""heavy load"" for the middle class."
OBJECT,President Obama decided to target certain and specific products or services he deems unhealthy and levied heavy taxes on them.
OBJECT,Remember when President Obama literally laughed out loud at the idea his health-care plan would impose taxes on the middle class?
OBJECT,"The new president delivered on his tax cut promises, which, combined with a recession in 2001, caused the tax burden to fall considerably."
OBJECT,New Taxes Burdensome for Farm and Ranch Families
OBJECT,The burdens of regulation on corporations hold down their profit margins.
OBJECT,Obama accused the Republicans of moving the goalposts in the debate about the deficit.
OBJECT,Could Texas be a battleground state?
OBJECT,Women: We Want You on the Political Battlefield
OBJECT,But Scott Brown’s win in the Massachusetts Senate race does raise a bigger question: is the system broken? I fear the answer is yes.
OBJECT,The engine is dying; we need to repair it.
OBJECT,"Society’s great institutions are factories of ideas, regularly churning out new frameworks, insights, and understanding."
OBJECT,"In this view, educational institutions are factories that take less productive workers as their raw materials, apply doses of training, and create more productive workers as outputs."
OBJECT,gun-infested state
OBJECT,I saw an opportunity for success and grabbed it.
OBJECT,They just handed him the job.
OBJECT,"Fame and fortune were within my grasp, but once again they eluded me."
OBJECT,"If you have a chance at a promotion, go for it!"
OBJECT,"I kept getting close to a world championship, but it kept escaping me."
OBJECT,"He almost got his hands on the Johnson ranch, but it slipped through his fingers."
OBJECT,She is pursuing an impossible dream.
OBJECT,He has interesting pursuits.
OBJECT,Latch onto a good job.
OBJECT,He finally managed to get a smile out of her.
OBJECT,She landed four huge accounts this year.
OBJECT,A passerby ... quickly realized his distress.
OBJECT,Cole’s friend shared a little of his distress over the death of Princess Diana.
OBJECT,Our relationship is veering off-course.
PART-WHOLE,They assembled a theory.
PART-WHOLE,They put/pieced a theory together.
PART-WHOLE,One piece of the theory doesn’t fit.
PART-WHOLE,I’m going to pieces.
PART-WHOLE,He took the problem apart piece by piece.
PART-WHOLE,He tore the problem apart looking for its solution.
PART-WHOLE,Something is missing in that argument.
PART-WHOLE,A unified theory.
PART-WHOLE,His thoughts are scattered.
PART-WHOLE,The theory is a mess/ all over the place.
PART-WHOLE,Everything fell into place.
PART-WHOLE,I’m missing a piece of the puzzle.
PART-WHOLE,How/where does this fit with what you were saying before?
PART-WHOLE,His argument lacked coherence.
PART-WHOLE,That story just doesn’t hang together.
PART-WHOLE,We were made for each other.
PART-WHOLE,We are one.
PART-WHOLE,She is my other half.
PART-WHOLE,He is a perfect match.
PART-WHOLE,"If ever two were one, then surely we."
PART-WHOLE,She is my better half.
PART-WHOLE,Five is made up of two plus three.
PART-WHOLE,You can factor 28 into 7 times 4.
PART-WHOLE,"If you put 2 and 2 together, you get 4."
PART-WHOLE,"You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine."
PART-WHOLE,"Earth is part of the group of ""terrestrial"" planets."
PART-WHOLE,The Milky Way belongs to a cluster of galaxies.
PART-WHOLE,Our galaxy has at least 100 billion planets.
PART-WHOLE,The eye possesses several parts.
PART-WHOLE,Which car part belongs to which car?
SCALE,That’s a big discovery.
SCALE,Let’s look at the larger issues.
SCALE,That’s a monumental discovery.
SCALE,Mr. Big
SCALE,The big cheese
SCALE,He’ll never amount to anything.
SCALE,Tomorrow is a big day.
SCALE,Maslow is a towering figure in humanistic psychology.
SCALE,He stands head and shoulders above them.
SCALE,That's a bigwig.
SCALE,He has to be cut down to size (i.e. reduced to his real importance.
SCALE,A big part of this mission was not to contaminate the planet with Earth organisms.
SCALE,Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.
SCALE,He’s short of money.
SCALE,He’s long on good looks.
SCALE,He’s short on intelligence.
SCALE,Which of the two classes is bigger?
SCALE,He only has a little money.
SCALE,I’m not a big eater.
SCALE,This class is bigger than that one.
SCALE,He’s a bigger eater than she is.
SCALE,I have a smaller amount of money than he does.
SCALE,He is trying to pay off his huge debt.
SCALE,The city is expanding the number of recycling containers in parks.
SCALE,She has very little money.
SCALE,The number of available parking spaces continues to shrink.
SCALE,What is the size of your bank account?
SCALE,He doesn't know how big our national debt is.
SCALE,Do you have anything smaller than a twenty?
SCALE,Can you break a twenty?
SCALE,I only have small change.
SCALE,We don’t accept any bill larger than a twenty.
SCALE,He’s a big man in the garment industry.
SCALE,He’s a giant among writers.
SCALE,That’s the biggest idea to hit advertising in years.
SCALE,He’s head and shoulders above everyone in the industry.
SCALE,It was only a small crime.
SCALE,That was only a little white lie.
SCALE,I was astounded at the enormity of the crime.
SCALE,That was one of the greatest moments in World Series history.
SCALE,His accomplishments tower over those of lesser men.
SCALE,Travelling will widen your horizon.
SCALE,They are broad-minded people.
SCALE,He expanded his interests to include music.
SCALE,You can do it by stretching imagination.
SCALE,They are narrow-minded people.
SCALE,His interests are very narrow.
SCALE,WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR
SCALE,We need to know how big of a problem that is.
SCALE,Here are some tips to grow your business.
SCALE,Out of these discussions will grow legislation of farreaching importance.
SCALE,Credit card debt has been growing significantly
SOURCE_PATH_GOAL,The time will come when…
SOURCE_PATH_GOAL,The time has long since gone when…
SOURCE_PATH_GOAL,The time for action has arrived.
SOURCE_PATH_GOAL,Coming up in the weeks ahead …
SOURCE_PATH_GOAL,I look forward to the arrival of Christmas.
SOURCE_PATH_GOAL,I’m looking ahead to Christmas.
SOURCE_PATH_GOAL,"Before us is a great opportunity, and we don’t want it to pass us by."
SOURCE_PATH_GOAL,I can’t face the future.
SOURCE_PATH_GOAL,The face of things to come …
SOURCE_PATH_GOAL,Let’s meet the future head-on.
SOURCE_PATH_GOAL,The time will come when there are no more typewriters.
SOURCE_PATH_GOAL,The time has long since gone when you could mail a letter for three cents.
SOURCE_PATH_GOAL,The time for action has arrived.
SOURCE_PATH_GOAL,The deadline is approaching.
SOURCE_PATH_GOAL,The time to start thinking about irreversible environmental decay is here.
SOURCE_PATH_GOAL,Thanksgiving is coming up on us.
SOURCE_PATH_GOAL,The summer just zoomed by.
SOURCE_PATH_GOAL,Time is flying by.
SOURCE_PATH_GOAL,The time for end-of-summer sales has passed.
SOURCE_PATH_GOAL,I can see the face of things to come.
SOURCE_PATH_GOAL,I can’t face the future.
SOURCE_PATH_GOAL,Let’s meet the future head-on.
SOURCE_PATH_GOAL,"In the weeks following next Tuesday, there will be very little to do."
SOURCE_PATH_GOAL,"During the week preceding last Tuesday, things were impossibly hectic around here."
SOURCE_PATH_GOAL,"On the preceding day, I took a long walk."
SOURCE_PATH_GOAL,"In the following weeks, there will be no vacations."
SOURCE_PATH_GOAL,Come what come may. Time and the hour runs through the roughest day.
SOURCE_PATH_GOAL,Time flies.
SOURCE_PATH_GOAL,On the preceding day . . .
SOURCE_PATH_GOAL,There’s going to be trouble along the road.
SOURCE_PATH_GOAL,His stay in Russia extended over many years.
SOURCE_PATH_GOAL,He passed the time happily.
SOURCE_PATH_GOAL,We’re coming up on Christmas.
SOURCE_PATH_GOAL,We’re getting close to Christmas.
SOURCE_PATH_GOAL,Will you be staying a long time or a short time?
SOURCE_PATH_GOAL,What will be the length of his visit?
SOURCE_PATH_GOAL,His visit to Russia extended over many years.
SOURCE_PATH_GOAL,Let’s spread the conference over two weeks.
SOURCE_PATH_GOAL,The conference runs from the first to the tenth of the month.
SOURCE_PATH_GOAL,She arrived on time.
SOURCE_PATH_GOAL,He’ll have his degree within two years.
SOURCE_PATH_GOAL,I’ll be there in a minute.
SOURCE_PATH_GOAL,He left at 10 o’clock.
SOURCE_PATH_GOAL,We passed the deadline.
SOURCE_PATH_GOAL,We’re halfway through September.
SOURCE_PATH_GOAL,We’ve reached June already.
SOURCE_PATH_GOAL,That's all behind us now.
SOURCE_PATH_GOAL,You can't go back in time!
SOURCE_PATH_GOAL,We're looking ahead to the future.
SOURCE_PATH_GOAL,He has a great future in front of him.
SOURCE_PATH_GOAL,The flow of history . . .
SOURCE_PATH_GOAL,How’re things going?
SOURCE_PATH_GOAL,"Things seem to be going with me, rather than against me these days."
SOURCE_PATH_GOAL,Things took a turn for the worse.
SOURCE_PATH_GOAL,Things are go mg my way.
SOURCE_PATH_GOAL,You gotta go with the flow.
SOURCE_PATH_GOAL,I’m just trying to keep my head above water.
SOURCE_PATH_GOAL,The tide of events . . .
SOURCE_PATH_GOAL,The winds of change. . .
SOURCE_PATH_GOAL,I’m trying to get my bearings.
SOURCE_PATH_GOAL,He’s up a creek without a paddle.
SOURCE_PATH_GOAL,We’re all in the same boat.
SOURCE_PATH_GOAL,Try to keep a tight rein on the situation.
SOURCE_PATH_GOAL,Wild horses couldn’t make me go.
SOURCE_PATH_GOAL,Hold your horses!
SOURCE_PATH_GOAL,Whoa! (said when things start to get out of hand).
SOURCE_PATH_GOAL,The GOP presidential race has a new front-runner: Gov. Rick Perry.
SOURCE_PATH_GOAL,"This year's US presidential election is shaping up to be a very close race, with the incumbent currently in front, but his challenger close on his heels."
SOURCE_PATH_GOAL,"At the turn, it's Obama by a nose."
SOURCE_PATH_GOAL,"Noem sprints to election finish line with stop in Elk Point, SD."
SOURCE_PATH_GOAL,"The race continues as Perry and Romney jockey for position, with Gingrich trailing behind."
SOURCE_PATH_GOAL,"With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys."
SOURCE_PATH_GOAL,The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...
SOURCE_PATH_GOAL,Hutchinson the front-runner in 2014 governor's race
SOURCE_PATH_GOAL,"While Perry appeared to be the frontrunner, Romney came out ahead in the GOP primary."
SOURCE_PATH_GOAL,"In the presidential race of 2008, John McCain came up short."
SOURCE_PATH_GOAL,"During the Republican primary, several candidates jockeyed for the frontrunner position, but Huntsman quickly fell behind and bowed out."
SOURCE_PATH_GOAL,"In the Supervisors race, my candidate came out slightly ahead of his closest rival."
SOURCE_PATH_GOAL,"As Election Day drew near, the candidates pulled into the final lap of the race."
SOURCE_PATH_GOAL,Last Legs of Campaign Can Decide Race
SOURCE_PATH_GOAL,How both candidates fair in the final leg of campaigning will likely determine the winner in each state.
SOURCE_PATH_GOAL,In the weeks ahead of us …
SOURCE_PATH_GOAL,That’s all behind us now.
SOURCE_PATH_GOAL,That’s all behind us now.
SOURCE_PATH_GOAL,Let’s put that in back of us.
SOURCE_PATH_GOAL,We’re looking ahead to the future.
SOURCE_PATH_GOAL,He has a great future in front of him.
SOURCE_PATH_GOAL,In the following weeks …
SOURCE_PATH_GOAL,In the preceding weeks …
SOURCE_PATH_GOAL,We are moving ahead.
SOURCE_PATH_GOAL,Let's forge ahead.
SOURCE_PATH_GOAL,Let's keep moving forward.
SOURCE_PATH_GOAL,We made lots of forward movement.
SOURCE_PATH_GOAL,We are sliding backward.
SOURCE_PATH_GOAL,We are backsliding.
SOURCE_PATH_GOAL,We need to backtrack.
SOURCE_PATH_GOAL,It is time to turn around and retrace our steps.
SOURCE_PATH_GOAL,She's ahead of the game.
SOURCE_PATH_GOAL,You are falling behind on your studies.
SOURCE_PATH_GOAL,Step forward and cast the first stone. Step back and let me handle this.
SOURCE_PATH_GOAL,The government intends to go ahead with major tax cuts. We are learning to step back from ourselves and identify our strengths and weaknesses.
SOURCE_PATH_GOAL,The test was at the forefront of my attention.
SOURCE_PATH_GOAL,That deadline is in the back of my mind.
SOURCE_PATH_GOAL,He puts his work before everything. Backbenchers.
SOURCE_PATH_GOAL,Should we place the needs of Europe's working classes before the needs of the masses of Africa and Asia?
SOURCE_PATH_GOAL,We consider this agreement to be an important step forward.
SOURCE_PATH_GOAL,Don't risk your marketing department being left behind.
SOURCE_PATH_GOAL,He is in love.
SOURCE_PATH_GOAL,What kind of a state was he in when you saw him?
SOURCE_PATH_GOAL,She can stay/remain silent for days.
SOURCE_PATH_GOAL,She can remain silent for days.
SOURCE_PATH_GOAL,He is at rest.
SOURCE_PATH_GOAL,She is at play.
SOURCE_PATH_GOAL,He remained standing.
SOURCE_PATH_GOAL,He is at a certain stage in his studies.
SOURCE_PATH_GOAL,What state is the project in?
SOURCE_PATH_GOAL,They are in love.
SOURCE_PATH_GOAL,I’m close to being in a depression and the next thing that goes wrong will send me over the edge.
SOURCE_PATH_GOAL,I’m in love.
SOURCE_PATH_GOAL,She’s out of her depression.
SOURCE_PATH_GOAL,He’s on the edge of madness.
SOURCE_PATH_GOAL,He’s in a deep depression.
SOURCE_PATH_GOAL,She’s close to insanity.
SOURCE_PATH_GOAL,We’re far from safety.
SOURCE_PATH_GOAL,Harry’s in trouble.
SOURCE_PATH_GOAL,The renovation is at a crossroads.
SOURCE_PATH_GOAL,"When at rest, the computer goes into hibernation."
SOURCE_PATH_GOAL,East Timor took the first steps toward independence in the 1990s.
SOURCE_PATH_GOAL,The country is slowly moving out of recession.
SOURCE_PATH_GOAL,Shape up!
SOURCE_PATH_GOAL,He is a conformist.
SOURCE_PATH_GOAL,She’s a reformed criminal.
SOURCE_PATH_GOAL,He is working in many areas.
SOURCE_PATH_GOAL,He is in a difficult field.
SOURCE_PATH_GOAL,There are many subareas in linguistics.
SOURCE_PATH_GOAL,He ranks above me.
SOURCE_PATH_GOAL,They are lower class.
SOURCE_PATH_GOAL,Climbing the ladder in the company.
SOURCE_PATH_GOAL,Be nice to the people you meet on your way up. . .
SOURCE_PATH_GOAL,He’s the top of the heap.
SOURCE_PATH_GOAL,Something good came about.
SOURCE_PATH_GOAL,It came into existence.
SOURCE_PATH_GOAL,It went out of existence.
SOURCE_PATH_GOAL,The baby is due any day.
SOURCE_PATH_GOAL,The baby is a new arrival.
SOURCE_PATH_GOAL,No answers were forth-coming.
SOURCE_PATH_GOAL,He's no longer with us.
SOURCE_PATH_GOAL,He's gone / departed.
SOURCE_PATH_GOAL,The created object is brought into existence.
SOURCE_PATH_GOAL,The created object is brought into being.
SOURCE_PATH_GOAL,Aspirin can make your headaches go away.
SOURCE_PATH_GOAL,He’s on the edge.
SOURCE_PATH_GOAL,She came back from the brink.
SOURCE_PATH_GOAL,He went over the edge.
SOURCE_PATH_GOAL,I’m hanging on by my fingertips.
SOURCE_PATH_GOAL,I’m on shaky ground.
SOURCE_PATH_GOAL,We’ve got to explore this problem.
SOURCE_PATH_GOAL,We’ve got to survey the problem.
SOURCE_PATH_GOAL,Let’s map out the problem before we do anything else.
SOURCE_PATH_GOAL,I think we’re headed in the right direction.
SOURCE_PATH_GOAL,How close are we to finding a solution?
SOURCE_PATH_GOAL,The solution still lies far ahead.
SOURCE_PATH_GOAL,We aren’t getting any nearer to an answer.
SOURCE_PATH_GOAL,Let’s not leave any stone unturned.
SOURCE_PATH_GOAL,I’m leaning toward leaving.
SOURCE_PATH_GOAL,They pushed him into running for president.
SOURCE_PATH_GOAL,They prodded me to run.
SOURCE_PATH_GOAL,I was drawn into the bank robbery.
SOURCE_PATH_GOAL,They stopped me from leaving.
SOURCE_PATH_GOAL,I’ve taken steps toward canceling my policy.
SOURCE_PATH_GOAL,She’s close to resigning.
SOURCE_PATH_GOAL,She backed away from resigning.
SOURCE_PATH_GOAL,She came near to resigning.
SOURCE_PATH_GOAL,He’s inching toward invading another country.
SOURCE_PATH_GOAL,The car is in motion.
SOURCE_PATH_GOAL,She was forced into an arranged marriage.
SOURCE_PATH_GOAL,Her parents kept pushing her until she succeeded.
SOURCE_PATH_GOAL,"He's holding you back, you need to leave him."
SOURCE_PATH_GOAL,I'm going to the top and nothing will stand in my way.
SOURCE_PATH_GOAL,All the bridges that used to span this river are now gone.
SOURCE_PATH_GOAL,Let’s hope he can keep the team on the road to success.
SOURCE_PATH_GOAL,She went from fat to thin through an intensive exercise program.
SOURCE_PATH_GOAL,Do it this way.
SOURCE_PATH_GOAL,She did it the other way.
SOURCE_PATH_GOAL,Do it any way you can.
SOURCE_PATH_GOAL,However you want to go about it is fine with me.
SOURCE_PATH_GOAL,"If this doesn’t work, I’ll try a different route."
SOURCE_PATH_GOAL,"To be cool, you have to wear your overalls this way."
SOURCE_PATH_GOAL,She solved the problem a different way.
SOURCE_PATH_GOAL,Do it any way you can.
SOURCE_PATH_GOAL,However you want to go about repairing it is fine with me.
SOURCE_PATH_GOAL,He went from fat to thin through an intensive exercise program.
SOURCE_PATH_GOAL,He eased into bathing daily through the help of his friends.
SOURCE_PATH_GOAL,He finally reached his goals.
SOURCE_PATH_GOAL,He’s headed for great things.
SOURCE_PATH_GOAL,It took him hours to reach a state of perfect concentration.
SOURCE_PATH_GOAL,"He’ll ultimately be successful, but he isn’t there yet."
SOURCE_PATH_GOAL,We’ve reached the end.
SOURCE_PATH_GOAL,We are seeing the light at the end of the tunnel.
SOURCE_PATH_GOAL,We only have a short way to go.
SOURCE_PATH_GOAL,We’re where we wanted to go.
SOURCE_PATH_GOAL,The goal is a long way off.
SOURCE_PATH_GOAL,The necessary retrofitting is now at an end.
SOURCE_PATH_GOAL,He is just floating around.
SOURCE_PATH_GOAL,She is drifting aimlessly.
SOURCE_PATH_GOAL,He needs some direction.
SOURCE_PATH_GOAL,Leave the past behind you.
SOURCE_PATH_GOAL,As we travel down life’s path. . .
SOURCE_PATH_GOAL,"I don’t know where I’m headed, but I’m enjoying getting there."
SOURCE_PATH_GOAL,He just sails through life.
SOURCE_PATH_GOAL,He had a head start in life.
SOURCE_PATH_GOAL,She hasn't gone as far in life as her parents had hoped.
SOURCE_PATH_GOAL,His life has taken a good course.
SOURCE_PATH_GOAL,I go where my path leads me.
SOURCE_PATH_GOAL,"As I've traveled through life, I've made a lot of friends along the way."
SOURCE_PATH_GOAL,"He has changed his direction in life, and taken a more spiritual path."
SOURCE_PATH_GOAL,It's time to take the next big step in my life.
SOURCE_PATH_GOAL,"He made it this far in life without a partner, he can survive without one going forward."
SOURCE_PATH_GOAL,He's over the hill.
SOURCE_PATH_GOAL,She's past her peak.
SOURCE_PATH_GOAL,Life is full of peaks and valleys.
SOURCE_PATH_GOAL,He started going down a bad life path.
SOURCE_PATH_GOAL,They are at a crossroads in their relationship.
SOURCE_PATH_GOAL,Look how far we’ve come.
SOURCE_PATH_GOAL,We’ll just have to go our separate ways.
SOURCE_PATH_GOAL,We can’t turn back now.
SOURCE_PATH_GOAL,I don’t think this relationship is going anywhere.
SOURCE_PATH_GOAL,Where are we?
SOURCE_PATH_GOAL,We’re stuck.
SOURCE_PATH_GOAL,"It’s been a long, bumpy road."
SOURCE_PATH_GOAL,This relationship is a dead-end street.
SOURCE_PATH_GOAL,We’re just spinning our wheels.
SOURCE_PATH_GOAL,Our marriage is on the rocks.
SOURCE_PATH_GOAL,We’ve gotten off the track.
SOURCE_PATH_GOAL,This relationship is foundering.
SOURCE_PATH_GOAL,We’re heading in different directions.
SOURCE_PATH_GOAL,The marriage is out of gas.
SOURCE_PATH_GOAL,We’re trying to keep the relationship afloat.
SOURCE_PATH_GOAL,We may have to bail out of this relationship.
SOURCE_PATH_GOAL,The new stadium is bogged down.
SOURCE_PATH_GOAL,Where are we in this relationship?
SOURCE_PATH_GOAL,It feels like this relationship is going nowhere.
SOURCE_PATH_GOAL,He’s hit a crossroads in his career.
SOURCE_PATH_GOAL,Do it over.
SOURCE_PATH_GOAL,"In the course of the investigation, new evidence was found."
SOURCE_PATH_GOAL,Follow along as I assemble this.
SOURCE_PATH_GOAL,Follow these steps in assembly.
SOURCE_PATH_GOAL,His job offer opened up new paths for me.
SOURCE_PATH_GOAL,I can go whichever I want with this project.
SOURCE_PATH_GOAL,Opportunity is an open door.
SOURCE_PATH_GOAL,Open up your own opportunities.
SOURCE_PATH_GOAL,The temperature edged toward 90 degrees.
SOURCE_PATH_GOAL,Bob was ahead of Sam on the scale of intelligence.
SOURCE_PATH_GOAL,Unemployment moved closer and closer to 10%.
SOURCE_PATH_GOAL,The interest rate fell behind the expected amount.
SOURCE_PATH_GOAL,John’s intelligence goes way beyond Bill’s.
SOURCE_PATH_GOAL,Fuel consumption rose to the highest it has been in 20 years.
SOURCE_PATH_GOAL,The temperature shot up.
SOURCE_PATH_GOAL,We reason from premise to conclusion.
SOURCE_PATH_GOAL,It goes against reason that she’s guilty.
SOURCE_PATH_GOAL,Reason forces me to that conclusion.
SOURCE_PATH_GOAL,Reason leads me to that conclusion.
SOURCE_PATH_GOAL,Let us start out from the proposition that Hamlet feared his father.
SOURCE_PATH_GOAL,You can't move to that conclusion from where you are now.
SOURCE_PATH_GOAL,From here I'll proceed to show that humans are slaves of their passions.
SOURCE_PATH_GOAL,"Once you reach that point in the argument, you've got to go on to the conclusion."
SOURCE_PATH_GOAL,The next step is to demonstrate that monkeys can make tools.
SOURCE_PATH_GOAL,He got off the track of the argument.
SOURCE_PATH_GOAL,That assumption will lead you astray.
SOURCE_PATH_GOAL,I don't follow you.
SOURCE_PATH_GOAL,"This lecture will be fast-paced, so try to keep up!"
SOURCE_PATH_GOAL,We have set out to prove that bats are birds.
SOURCE_PATH_GOAL,"When we get to the next point, we shall see that philosophy is dead."
SOURCE_PATH_GOAL,"So far, we’ve seen that no current theories will work."
SOURCE_PATH_GOAL,We will proceed in a step-by-step fashion.
SOURCE_PATH_GOAL,Our goal is to show that hummingbirds are essential to military defense.
SOURCE_PATH_GOAL,This observation points the way to an elegant solution.
SOURCE_PATH_GOAL,We have arrived at a disturbing conclusion.
SOURCE_PATH_GOAL,We will proceed in a step-by-step fashion.
SOURCE_PATH_GOAL,We have covered a lot of ground.
SOURCE_PATH_GOAL,He strayed from the line of argument.
SOURCE_PATH_GOAL,Do you follow my argument?
SOURCE_PATH_GOAL,Now we’ve gone off in the wrong direction again.
SOURCE_PATH_GOAL,I’m lost.
SOURCE_PATH_GOAL,You’re going around in circles.
SOURCE_PATH_GOAL,We’re getting off track.
SOURCE_PATH_GOAL,Don’t interrupt my train of thought.
SOURCE_PATH_GOAL,I can follow what he’s saying.
SOURCE_PATH_GOAL,She’s got a one-track mind.
SOURCE_PATH_GOAL,They are far beyond us in technological achievements.
SOURCE_PATH_GOAL,He surpassed his teacher.
SOURCE_PATH_GOAL,He is way ahead of the rest of us.
SOURCE_PATH_GOAL,He’s ahead of the pack.
SOURCE_PATH_GOAL,We have fallen behind the Soviet Union in space exploration.
SOURCE_PATH_GOAL,We are miles ahead of them.
SOURCE_PATH_GOAL,We were left behind.
SOURCE_PATH_GOAL,He strayed from the path.
SOURCE_PATH_GOAL,He’s gone off in the wrong direction.
SOURCE_PATH_GOAL,They’re following us.
SOURCE_PATH_GOAL,I’m lost.
SOURCE_PATH_GOAL,When will he come to the point?
SOURCE_PATH_GOAL,I can see where this is going.
SOURCE_PATH_GOAL,"You must follow exactly the path that the Lord your God has commanded you, …"
SOURCE_PATH_GOAL,"My foot has held fast to his steps, I have kept his way and have not turned aside."
SOURCE_PATH_GOAL,"I have chosen him, that he may charge his children and his household after him to keep the way of the Lord by doing righteousness and justice."
SOURCE_PATH_GOAL,"Lead me in the path your commandments, for I delight in it."
SOURCE_PATH_GOAL,Do not let me stray from your commandments.
SOURCE_PATH_GOAL,"They did not walk in the ways of God’s commandments, or tread the paths his righteousness showed them."
SOURCE_PATH_GOAL,"For I have kept the ways of the Lord, and have not wickedly departed from my God."
SOURCE_PATH_GOAL,"But when they [the Israelites] departed from the way he [God] had prescribed for them, they were utterly defeated.."
SOURCE_PATH_GOAL,The Lord to Moses] Your people …] have been quick to turn aside from the way that I commanded them.
SOURCE_PATH_GOAL,"Because they turned aside from following him, and had no regard for any of his ways"
SOURCE_PATH_GOAL,"if you do not obey the commandments of the Lord your God, but turn from the way that I am commanding you today, to follow other gods"
SOURCE_PATH_GOAL,He is a deviant.
SOURCE_PATH_GOAL,He deviated from the straight and narrow.
SOURCE_PATH_GOAL,She strayed.
SOURCE_PATH_GOAL,He went over this in his mind.
SOURCE_PATH_GOAL,The question of overtime pay proved to be an insurmountable stumbling block to agreement.
SOURCE_PATH_GOAL,We reason from premise to conclusion.
SOURCE_PATH_GOAL,The evidence pointed in all different directions.
SOURCE_PATH_GOAL,Reason leads me to that conclusion.
SOURCE_PATH_GOAL,This assumption is what’s misleading us.
SOURCE_PATH_GOAL,We’re going around in circles.
SOURCE_PATH_GOAL,We're making progress on defining what kind of house we are looking for.
SOURCE_PATH_GOAL,You should move on with your life.
SOURCE_PATH_GOAL,We’ve come a long way.
SOURCE_PATH_GOAL,We've covered lots of ground.
SOURCE_PATH_GOAL,We've made it this far!
SOURCE_PATH_GOAL,"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains."
SOURCE_PATH_GOAL,He is far more intelligent than he looks.
SOURCE_PATH_GOAL,"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year."
SOURCE_PATH_GOAL,"Democrats Push Through Historic, Controversial Health Care Legislation"
SOURCE_PATH_GOAL,The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.
SOURCE_PATH_GOAL,We are reaching the end of the house-buying process.
SOURCE_PATH_GOAL,"Finally, all my educational goals are in reach."
SOURCE_PATH_GOAL,We are entering the last stages of filing for bankruptcy.
SOURCE_PATH_GOAL,We are at a standstill.
SOURCE_PATH_GOAL,We aren't getting any place.
