sentence,image_schema,annotation
The problem is far from being solved.,CENTER-PERIPHERY,
"Far-fetched (= forced, unnatural)",CENTER-PERIPHERY,
"far-gone (= deeply advanced into e.g. illness, madness, drunkenness, debt, etc.).",CENTER-PERIPHERY,
"I always thought of my parents as being rigid, distant, and unloving.",CENTER-PERIPHERY,
We are on distant terms.,CENTER-PERIPHERY,
A distant connection between two ideas.,CENTER-PERIPHERY,
A distant manner.,CENTER-PERIPHERY,
His stories are too remote from everyday life.,CENTER-PERIPHERY,
"She was a silent girl, cool and remote.",CENTER-PERIPHERY,
…eines wirklichkeitsnahen Politikbegriffs…,CENTER-PERIPHERY,
"Das Politische…ist auch nicht weit entfernt von dem, was Dolf Sternberger die wahre…Politik genannt hat…",CENTER-PERIPHERY,
…“zu mehr Bürgernähe“ in der Asylpolitik…,CENTER-PERIPHERY,
…kommen die Männer dem Weltniveau wieder näher.,CENTER-PERIPHERY,
…“dass die Leistungen nicht so weit von der Spitze weg sind.,CENTER-PERIPHERY,
…die neuen Landsleute von drüben…in der Nähe des westdeutschen Pro-Kopf-Einkommens zu halten.,CENTER-PERIPHERY,
…näherten sich die Sozialstrukturen in den europäischen Staaten einander an,CENTER-PERIPHERY,
…der Annäherung zwischen Ost und West…,CENTER-PERIPHERY,
Wenn die Löhne sich immer mehr von der Produktivität entfernen…,CENTER-PERIPHERY,
Hier verringert sich der Abstand zum reichen Norden sogar…,CENTER-PERIPHERY,
Produktivität und Löhne laufen immer weiter auseinander.,CENTER-PERIPHERY,
…einige auseinanderdriftende Inflationsraten.,CENTER-PERIPHERY,
"…dass die Weltwirtschaft sich grundlegend von dem fortentwickelte, was sie…gewesen war.",CENTER-PERIPHERY,
Wir haben uns in vielen Fragen…weit von der Basis entfernt.,CENTER-PERIPHERY,
…eine bildungsferne Schicht…,CENTER-PERIPHERY,
Die Gemeinschaft ist zu volksfern.,CENTER-PERIPHERY,
Er bleibt früheren Systemkonzepten näher…,CENTER-PERIPHERY,
…der als CDU-nah gilt…,CENTER-PERIPHERY,
…aber als der SPD nahestehend gilt.,CENTER-PERIPHERY,
…die jedes homosexuelle Verlangen weit von sich weisen…,CENTER-PERIPHERY,
In den “Philosophischen Aufsätzen” geht er jetzt auf Distanz auch zu Joachim Ritter.,CENTER-PERIPHERY,
…in solchen Distanzierungen…,CENTER-PERIPHERY,
We're finally on the same page.,CENTER-PERIPHERY,
Who's with me?,CENTER-PERIPHERY,
"We’ve been in a close relationship for years, but it’s beginning to seem confining.",CONTAINMENT,
to have an open marriage,CONTAINMENT,
She's trapped in a relationship with a scumbag.,CONTAINMENT,
They had a falling out.,CONTAINMENT,
Our relationship is veering off-course.,OBJECT,
I feel close to him.,CENTER-PERIPHERY,
He distances himself.,CENTER-PERIPHERY,
…nahe Freundinnen…,CENTER-PERIPHERY,
…war einer der engsten Freunde von Petra Kelly…,CENTER-PERIPHERY,
…selbst enge Vertraute…,CENTER-PERIPHERY,
Die Beziehung zu Petra…sei…“sehr eng“ gewesen…,CENTER-PERIPHERY,
…die ihn…in den letzten Jahren näher kannten.,CENTER-PERIPHERY,
Der Toten Nahestehende…,CENTER-PERIPHERY,
…die übergroße Nähe…,CENTER-PERIPHERY,
…seinen engeren Mitarbeitern…,CENTER-PERIPHERY,
…stand Eric Clapton musikalisch und menschlich näher…,CENTER-PERIPHERY,
…ihrer engen Freundin…,CENTER-PERIPHERY,
When Tuesday comes. . .,CENTER-PERIPHERY,
Three O’clock is approaching.,CENTER-PERIPHERY,
Thursday passed without incident.,CENTER-PERIPHERY,
The witching hour is near.,CENTER-PERIPHERY,
Who are the men closest to Khomeini? (Who are the men who have the strongest effect on Khomeini?),CENTER-PERIPHERY,
so you kind of feel a little bit closer to the character within the book.,CENTER-PERIPHERY,
at that point I think I sort of felt like I had taken a step away from the story.,CENTER-PERIPHERY,
"but it felt like someone you love being pulled away from you ever so slowly, agonizingly slowly, watching someone you love being tortured and then just having her gone, it was quite horrible. I mean what was in my soul, it’s probably the best description I can give you, it’s like a massive loss.",CENTER-PERIPHERY,
It is close on midnight.,CENTER-PERIPHERY,
To answer that question we need to go further back in time.,CENTER-PERIPHERY,
He was close to tears.,CENTER-PERIPHERY,
He became emotionally distant from his friends and family after the illness.,CENTER-PERIPHERY,
He is one of the prime minister's closest advisers.,CENTER-PERIPHERY,
People need be entertained to take their attention away from conflict.,CENTER-PERIPHERY,
I can feel a headache approaching.,CENTER-PERIPHERY,
My symptoms went away.,CENTER-PERIPHERY,
House Democrats and Republicans moved closer to agreeing on a budget today.,CENTER-PERIPHERY,
It is unclear how the new law applies to this situation.,CENTER-PERIPHERY,
Canada is by far the closest of all our neighbors.,CENTER-PERIPHERY,
Let’s hope he can keep the team on the road to success.,SOURCE_PATH_GOAL,
She went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL,
Do it this way.,SOURCE_PATH_GOAL,
She did it the other way.,SOURCE_PATH_GOAL,
Do it any way you can.,SOURCE_PATH_GOAL,
However you want to go about it is fine with me.,SOURCE_PATH_GOAL,
"If this doesn’t work, I’ll try a different route.",SOURCE_PATH_GOAL,
…sei nichts anderes als ein Schleichweg an die Macht…,SOURCE_PATH_GOAL,
…es gibt tatsächlich Anzeichen für einen asiatischen Sonderweg.,SOURCE_PATH_GOAL,
Das Gemauschel in der Grauzone sei einfach der falsche Weg.,SOURCE_PATH_GOAL,
Jetzt hat die moderne Traumforschung einen Weg gefunden…,SOURCE_PATH_GOAL,
Ernst Tugendhats Denkweg führt durch die Denkgeschichte der Bundesrepublik.,SOURCE_PATH_GOAL,
"Es gab in unserem Jahrhundert viele Wege, die von Heidegger weggeführt haben.",SOURCE_PATH_GOAL,
…kann…ein „mittlerer Weg“ das Problem relativieren…,SOURCE_PATH_GOAL,
Auf diesem Weg…,SOURCE_PATH_GOAL,
"…dass es nur einen Weg gebe, die Lage…zu verbessern.",SOURCE_PATH_GOAL,
…nach den dramatischen Irrwegen…,SOURCE_PATH_GOAL,
…schufen sich die EG-Regierungen auf dem Umweg über Brüssel Dutzende weiterer Zusatzbudgets.,SOURCE_PATH_GOAL,
…die fallenreichen Pfade alternativer Politik…,SOURCE_PATH_GOAL,
Ein Weg aus der Hoffnungslosigkeit sei auch die Initiative…,SOURCE_PATH_GOAL,
Nach dem Führungswechsel…scheint der Deutsche Judo-Bund…auf einem guten Weg…,SOURCE_PATH_GOAL,
Welchen Weg hätte die Brandenburgische CDU genommen…,SOURCE_PATH_GOAL,
„Das ist der falsche Weg…,SOURCE_PATH_GOAL,
"To be cool, you have to wear your overalls this way.",SOURCE_PATH_GOAL,
She solved the problem a different way.,SOURCE_PATH_GOAL,
Do it any way you can.,SOURCE_PATH_GOAL,
However you want to go about repairing it is fine with me.,SOURCE_PATH_GOAL,
He went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL,
He eased into bathing daily through the help of his friends.,SOURCE_PATH_GOAL,
Die SPD verfolgt eine Linie in Richtung große Koalition.,SOURCE_PATH_GOAL,
Ein politischer Rückschlag…führt unweigerlich zu ökonomischen Verwerfungen…,SOURCE_PATH_GOAL,
Mit einer kleinen Währungsunion auf Maastrich zugehen…,SOURCE_PATH_GOAL,
"Auch wenn die Politiker in Rio zu kurz springen, sie stolpern doch endlich in die richtige Richtung.",SOURCE_PATH_GOAL,
…sie [die Demokratie] braucht vor allem moralische Wegweiser.,SOURCE_PATH_GOAL,
"…dass wir alle unzufrieden waren über die Richtung, die Demokraten wie Republikaner eingeschlagen hatten.",SOURCE_PATH_GOAL,
…und der Richtung der Reformen…,SOURCE_PATH_GOAL,
Der Weg fürht weg von der Heidegger-Begeisterung…,SOURCE_PATH_GOAL,
…ist eine attraktive Forschungsrichtung.,SOURCE_PATH_GOAL,
Ohne Kehrtwende…bleibe die Bundesrepublik…“außen vor“…,SOURCE_PATH_GOAL,
…auch eine Neuorientierung in der Frage politischer Grundsätze…,SOURCE_PATH_GOAL,
…ein Zeichen zur ökologischen Wende,SOURCE_PATH_GOAL,
Wir haben unser Land schon wiederholt auf einen neuen Kurs gebracht.,SOURCE_PATH_GOAL,
…eine gewisse Umorientierung in der SPD…,SOURCE_PATH_GOAL,
"…forderte sie die Umkehr, eine Welt ohne Waffen…",SOURCE_PATH_GOAL,
…um Jelzin den Kurswechsel nicht unnötig schwer zu machen…,SOURCE_PATH_GOAL,
…daß er…einen Parteitag herumreißen könnte.,SOURCE_PATH_GOAL,
He finally reached his goals.,SOURCE_PATH_GOAL,
He’s headed for great things.,SOURCE_PATH_GOAL,
It took him hours to reach a state of perfect concentration.,SOURCE_PATH_GOAL,
"He’ll ultimately be successful, but he isn’t there yet.",SOURCE_PATH_GOAL,
We’ve reached the end.,SOURCE_PATH_GOAL,
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL,
We only have a short way to go.,SOURCE_PATH_GOAL,
We’re where we wanted to go.,SOURCE_PATH_GOAL,
The goal is a long way off.,SOURCE_PATH_GOAL,
The necessary retrofitting is now at an end.,SOURCE_PATH_GOAL,
He is just floating around.,SOURCE_PATH_GOAL,
She is drifting aimlessly.,SOURCE_PATH_GOAL,
He needs some direction.,SOURCE_PATH_GOAL,
…ein so anderes Ergebnis vorausgesagt hatten…,SOURCE_PATH_GOAL,
…in Rückerinnerung an…,SOURCE_PATH_GOAL,
…im Rückblick auf die zehn Jahre…,SOURCE_PATH_GOAL,
Während der zurückliegenden vier Jahrzehnte,SOURCE_PATH_GOAL,
…seine Gabe vorauszudenken…,SOURCE_PATH_GOAL,
Andere sahen das Grünen-Paar kurz vor dem finanziellen Offenbarungseid…,SOURCE_PATH_GOAL,
…dass man es für ein Individuum voraussagen könnte.,SOURCE_PATH_GOAL,
Seine besseren Jahre liegen bis zur Unkenntlichkeit weit zurück.,SOURCE_PATH_GOAL,
Leave the past behind you.,SOURCE_PATH_GOAL,
As we travel down life’s path. . .,SOURCE_PATH_GOAL,
"I don’t know where I’m headed, but I’m enjoying getting there.",SOURCE_PATH_GOAL,
He just sails through life.,SOURCE_PATH_GOAL,
He had a head start in life.,SOURCE_PATH_GOAL,
…einen eindrucksvolleren Lebenslauf…,SOURCE_PATH_GOAL,
Ein Sonderweg hat sich vollendet.,SOURCE_PATH_GOAL,
"…ein so unerhörter Lebensweg, der bis an die Regierungsspitze führte…",SOURCE_PATH_GOAL,
…endete sein Lebensweg.,SOURCE_PATH_GOAL,
"Weggefährten eines Reiters, der…",SOURCE_PATH_GOAL,
Dieser verschlungene und für ihn doch gerade Weg führte über Höhen und Tiefen. [zum Leben Willy Brands],SOURCE_PATH_GOAL,
"„Ich denke nicht viel rückwärts“, sagt er. “Ich denke eher: wie viel habe ich noch vor mir.",SOURCE_PATH_GOAL,
"…dass man denen, die…später leben werden, den Weg bahnen muß.",SOURCE_PATH_GOAL,
She hasn't gone as far in life as her parents had hoped.,SOURCE_PATH_GOAL,
His life has taken a good course.,SOURCE_PATH_GOAL,
I go where my path leads me.,SOURCE_PATH_GOAL,
"As I've traveled through life, I've made a lot of friends along the way.",SOURCE_PATH_GOAL,
"He has changed his direction in life, and taken a more spiritual path. ",SOURCE_PATH_GOAL,
It's time to take the next big step in my life.,SOURCE_PATH_GOAL,
"He made it this far in life without a partner, he can survive without one going forward.",SOURCE_PATH_GOAL,
He's over the hill.,SOURCE_PATH_GOAL,
She's past her peak.,SOURCE_PATH_GOAL,
Life is full of peaks and valleys.,SOURCE_PATH_GOAL,
He started going down a bad life path.,SOURCE_PATH_GOAL,
They are at a crossroads in their relationship.,SOURCE_PATH_GOAL,
Look how far we’ve come.,SOURCE_PATH_GOAL,
We’ll just have to go our separate ways.,SOURCE_PATH_GOAL,
We can’t turn back now.,SOURCE_PATH_GOAL,
I don’t think this relationship is going anywhere.,SOURCE_PATH_GOAL,
Where are we?,SOURCE_PATH_GOAL,
We’re stuck.,SOURCE_PATH_GOAL,
"It’s been a long, bumpy road.",SOURCE_PATH_GOAL,
This relationship is a dead-end street.,SOURCE_PATH_GOAL,
We’re just spinning our wheels.,SOURCE_PATH_GOAL,
Our marriage is on the rocks.,SOURCE_PATH_GOAL,
We’ve gotten off the track.,SOURCE_PATH_GOAL,
This relationship is foundering.,SOURCE_PATH_GOAL,
We’re heading in different directions.,SOURCE_PATH_GOAL,
The marriage is out of gas.,SOURCE_PATH_GOAL,
We’re trying to keep the relationship afloat.,SOURCE_PATH_GOAL,
We may have to bail out of this relationship.,SOURCE_PATH_GOAL,
The new stadium is bogged down.,SOURCE_PATH_GOAL,
Where are we in this relationship?,SOURCE_PATH_GOAL,
It feels like this relationship is going nowhere.,SOURCE_PATH_GOAL,
He’s hit a crossroads in his career.,SOURCE_PATH_GOAL,
…der dem Jüngeren…rechtzeitig den Weg freigab.,SOURCE_PATH_GOAL,
Seine journalistischen Laufbahn begann Voß…,SOURCE_PATH_GOAL,
…als Nachfolger von Hans Tietmeyer…,SOURCE_PATH_GOAL,
…der Weg ins Weiße Haus…,SOURCE_PATH_GOAL,
Für die Sozialdemokraten avancierte er zu einem ihrer Hoffnungsträger auf dem Weg an die Regierung…,SOURCE_PATH_GOAL,
In ganz anderer Weise als seine Vorgänger…,SOURCE_PATH_GOAL,
…bei ihren ersten Karriere-Schritten…,SOURCE_PATH_GOAL,
…sehr verschiedene Karriere-Pfade…,SOURCE_PATH_GOAL,
Do it over.,SOURCE_PATH_GOAL,
" In the course of the investigation, new evidence was found. ",SOURCE_PATH_GOAL,
Follow along as I assemble this.,SOURCE_PATH_GOAL,
Follow these steps in assembly.,SOURCE_PATH_GOAL,
His job offer opened up new paths for me.,SOURCE_PATH_GOAL,
I can go whichever I want with this project.,SOURCE_PATH_GOAL,
Opportunity is an open door.,SOURCE_PATH_GOAL,
Open up your own opportunities.,SOURCE_PATH_GOAL,
The temperature edged toward 90 degrees.,SOURCE_PATH_GOAL,
Bob was ahead of Sam on the scale of intelligence.,SOURCE_PATH_GOAL,
Unemployment moved closer and closer to 10%.,SOURCE_PATH_GOAL,
The interest rate fell behind the expected amount.,SOURCE_PATH_GOAL,
John’s intelligence goes way beyond Bill’s.,SOURCE_PATH_GOAL,
Fuel consumption rose to the highest it has been in 20 years.,SOURCE_PATH_GOAL,
The temperature shot up.,SOURCE_PATH_GOAL,
We reason from premise to conclusion.,SOURCE_PATH_GOAL,
It goes against reason that she’s guilty.,SOURCE_PATH_GOAL,
Reason forces me to that conclusion.,SOURCE_PATH_GOAL,
Reason leads me to that conclusion.,SOURCE_PATH_GOAL,
Let us start out from the proposition that Hamlet feared his father.,SOURCE_PATH_GOAL,
You can't move to that conclusion from where you are now.,SOURCE_PATH_GOAL,
From here I'll proceed to show that humans are slaves of their passions.,SOURCE_PATH_GOAL,
"Once you reach that point in the argument, you've got to go on to the conclusion.",SOURCE_PATH_GOAL,
The next step is to demonstrate that monkeys can make tools.,SOURCE_PATH_GOAL,
He got off the track of the argument.,SOURCE_PATH_GOAL,
That assumption will lead you astray.,SOURCE_PATH_GOAL,
I don't follow you.,SOURCE_PATH_GOAL,
"This lecture will be fast-paced, so try to keep up! ",SOURCE_PATH_GOAL,
We have set out to prove that bats are birds.,SOURCE_PATH_GOAL,
"When we get to the next point, we shall see that philosophy is dead.",SOURCE_PATH_GOAL,
"So far, we’ve seen that no current theories will work.",SOURCE_PATH_GOAL,
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL,
Our goal is to show that hummingbirds are essential to military defense.,SOURCE_PATH_GOAL,
This observation points the way to an elegant solution.,SOURCE_PATH_GOAL,
We have arrived at a disturbing conclusion.,SOURCE_PATH_GOAL,
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL,
We have covered a lot of ground.,SOURCE_PATH_GOAL,
He strayed from the line of argument.,SOURCE_PATH_GOAL,
Do you follow my argument?,SOURCE_PATH_GOAL,
Now we’ve gone off in the wrong direction again.,SOURCE_PATH_GOAL,
I’m lost.,SOURCE_PATH_GOAL,
You’re going around in circles.,SOURCE_PATH_GOAL,
We’re getting off track.,SOURCE_PATH_GOAL,
Don’t interrupt my train of thought.,SOURCE_PATH_GOAL,
I can follow what he’s saying.,SOURCE_PATH_GOAL,
She’s got a one-track mind.,SOURCE_PATH_GOAL,
They are far beyond us in technological achievements.,SOURCE_PATH_GOAL,
He surpassed his teacher.,SOURCE_PATH_GOAL,
He is way ahead of the rest of us.,SOURCE_PATH_GOAL,
He’s ahead of the pack.,SOURCE_PATH_GOAL,
We have fallen behind the Soviet Union in space exploration.,SOURCE_PATH_GOAL,
We are miles ahead of them.,SOURCE_PATH_GOAL,
We were left behind.,SOURCE_PATH_GOAL,
He strayed from the path.,SOURCE_PATH_GOAL,
He’s gone off in the wrong direction.,SOURCE_PATH_GOAL,
They’re following us.,SOURCE_PATH_GOAL,
I’m lost.,SOURCE_PATH_GOAL,
When will he come to the point?,SOURCE_PATH_GOAL,
I can see where this is going.,SOURCE_PATH_GOAL,
"You must follow exactly the path that the Lord your God has commanded you, …",SOURCE_PATH_GOAL,
"My foot has held fast to his steps, I have kept his way and have not turned aside.",SOURCE_PATH_GOAL,
"I have chosen him, that he may charge his children and his household after him to keep the way of the Lord by doing righteousness and justice.",SOURCE_PATH_GOAL,
"Lead me in the path your commandments, for I delight in it.",SOURCE_PATH_GOAL,
Do not let me stray from your commandments.,SOURCE_PATH_GOAL,
"They did not walk in the ways of God’s commandments, or tread the paths his righteousness showed them.",SOURCE_PATH_GOAL,
"For I have kept the ways of the Lord, and have not wickedly departed from my God.",SOURCE_PATH_GOAL,
"But when they [the Israelites] departed from the way he  [God] had prescribed for them, they were utterly defeated..",SOURCE_PATH_GOAL,
The Lord to Moses] Your people  …] have been quick to turn aside from the way that I commanded them.,SOURCE_PATH_GOAL,
"Because they turned aside from following him, and had no regard for any of his ways",SOURCE_PATH_GOAL,
"if you do not obey the commandments of the Lord your God, but turn from the way that I am commanding you today, to follow other gods",SOURCE_PATH_GOAL,
He is a deviant.,SOURCE_PATH_GOAL,
He deviated from the straight and narrow.,SOURCE_PATH_GOAL,
She strayed.,SOURCE_PATH_GOAL,
He went over this in his mind.,SOURCE_PATH_GOAL,
The question of overtime pay proved to be an insurmountable stumbling block to agreement.,SOURCE_PATH_GOAL,
We reason from premise to conclusion.,SOURCE_PATH_GOAL,
The evidence pointed in all different directions.,SOURCE_PATH_GOAL,
Reason leads me to that conclusion.,SOURCE_PATH_GOAL,
This assumption is what’s misleading us.,SOURCE_PATH_GOAL,
We’re going around in circles.,SOURCE_PATH_GOAL,
We're making progress on defining what kind of house we are looking for.,SOURCE_PATH_GOAL,
"wir lenken unsere Gedanken auf verschiedenen Wegen, und diejenigen, die nur sehr langsam gehen, können viel mehr vorankommen, wenn sie immer dem geraden Weg folgen, als diejenigen, die laufen und sich vom Weg entfernen.",SOURCE_PATH_GOAL,
"Mit der Naturwissenschaft ging es weit langsamer zu [als mit der Mathematik], bis sie den Heeresweg der Wissenschaft traf.",SOURCE_PATH_GOAL,
…dass er zur Führung seines Landes ähnlicher Eigenschaften bedarf…,SOURCE_PATH_GOAL,
…Führung einer High-Tech-Firma,SOURCE_PATH_GOAL,
…für den Führer der Großmacht USA…,SOURCE_PATH_GOAL,
…dass die führenden Leute unserer Regierung…,SOURCE_PATH_GOAL,
…in Führungspositionen…,SOURCE_PATH_GOAL,
Der erste vom Volk gewählte Präsident…muß eine Wirtschaft…aus der Krise führen…,SOURCE_PATH_GOAL,
…der Litauen als Staatsoberhaupt in die Unabhängigkeit geführt hatte.,SOURCE_PATH_GOAL,
Nach dem Führungswechsel der Verbandsspitze…,SOURCE_PATH_GOAL,
…unter den Führern großer Unternehmen…,SOURCE_PATH_GOAL,
"Was wie eine Streitschrift…begonnen hatte, ist unterwegs zu einem ironischen Kommentar…",SOURCE_PATH_GOAL,
Entweder geht die Entwicklung in Richtung eines Krieges…oder…,SOURCE_PATH_GOAL,
Welche Signale weisen den Weg der deutschen Wirtschaft in den kommenden Monaten?,SOURCE_PATH_GOAL,
…die fortschreitende Verarmung…,SOURCE_PATH_GOAL,
"…einem Stadtteil Bremens, der dem gleichen Schicksal entgegengeht.",SOURCE_PATH_GOAL,
…“sich durch seine Krisen weiterzuentwickeln.“,SOURCE_PATH_GOAL,
…durchläuft die HIV-Infektion…eine eigene Evolution.,SOURCE_PATH_GOAL,
…läßt sich die Evolution der Aids-Viren verfolgen.,SOURCE_PATH_GOAL,
Zurück zu den Ursprüngen?,SOURCE_PATH_GOAL,
…auf die…Rassenspannungen zurückzuführen…,SOURCE_PATH_GOAL,
…auf genetische Ursachen zurückgeführt werden…,SOURCE_PATH_GOAL,
…dass dem gleichen Geld auch der gleiche Massenwohlstand nachfolgte.,SOURCE_PATH_GOAL,
Einer industriellen Inverstition gehen jahrelange Prozesse voraus…,SOURCE_PATH_GOAL,
"Eine Hiobsbotschaft, der kein durchgreifendes Handeln folgte…",SOURCE_PATH_GOAL,
Zwei deprimierende Wahlniederlagen waren dem Sieg vorausgegangen…,SOURCE_PATH_GOAL,
…war diesem Bruch…einer jener bezeichnender Brüche in Brandts eigener politischen Vita vorausgegangen…,SOURCE_PATH_GOAL,
…mehr noch als die vorangegangenen Meisterwerke…,SOURCE_PATH_GOAL,
1920 folgen die städtischen Kunstsammlungen…,SOURCE_PATH_GOAL,
Ein Höhepunkt jagt den anderen…,SOURCE_PATH_GOAL,
Glücklich waren nach ihrem vierten Titel hintereinander die Eistänzer Jennifer Goodsbee/Hendryk Schamberger..,SOURCE_PATH_GOAL,
You should move on with your life.,SOURCE_PATH_GOAL,
We’ve come a long way.,SOURCE_PATH_GOAL,
We've covered lots of ground.,SOURCE_PATH_GOAL,
We've made it this far!,SOURCE_PATH_GOAL,
"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains. ",SOURCE_PATH_GOAL,
He is far more intelligent than he looks.,SOURCE_PATH_GOAL,
"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year. ",SOURCE_PATH_GOAL,
"Democrats Push Through Historic, Controversial Health Care Legislation ",SOURCE_PATH_GOAL,
The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.,SOURCE_PATH_GOAL,
We are reaching the end of the house-buying process.,SOURCE_PATH_GOAL,
"Finally, all my educational goals are in reach. ",SOURCE_PATH_GOAL,
We are entering the last stages of filing for bankruptcy.,SOURCE_PATH_GOAL,
We are at a standstill.,SOURCE_PATH_GOAL,
We aren't getting any place.,SOURCE_PATH_GOAL,
We aren't going anywhere.,SOURCE_PATH_GOAL,
We are going nowhere with this.,SOURCE_PATH_GOAL,
We've reached the end.,SOURCE_PATH_GOAL,
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL,
We only have a short way to go.,SOURCE_PATH_GOAL,
The end is in sight.,SOURCE_PATH_GOAL,
The end is a long ways off.,SOURCE_PATH_GOAL,
How close are these two numbers?,SOURCE_PATH_GOAL,
"37 is far away from 189,712.",SOURCE_PATH_GOAL,
4.9 is near 5.,SOURCE_PATH_GOAL,
The result is around 40.,SOURCE_PATH_GOAL,
"Count up to 20, without skipping any numbers.",SOURCE_PATH_GOAL,
Count backward from 20.,SOURCE_PATH_GOAL,
"Count to 100, starting at 20.",SOURCE_PATH_GOAL,
Name all the numbers from 2 to 10.,SOURCE_PATH_GOAL,
Zero lies between one and minus one.,SOURCE_PATH_GOAL,
to get into the story.,SOURCE_PATH_GOAL,
I was astounded at the way you can walk in—almost walk into a book and just live in it.,SOURCE_PATH_GOAL,
going to a place where you had never been yet but might be curious about or had heard something about.,SOURCE_PATH_GOAL,
"The writer did a wonderful job of transporting me into the worlds of half a dozen different people, totally different from mine, outside my experience, but somehow I made them all real.",SOURCE_PATH_GOAL,
you’re following the character,SOURCE_PATH_GOAL,
So you do feel like you’ve been on the trip with them actually.,SOURCE_PATH_GOAL,
Devastation from the hurricane thrust the nation into recession.,SOURCE_PATH_GOAL,
Congress' refusal to compromise is moving the country toward economic ruin.,SOURCE_PATH_GOAL,
It is smooth sailing from here on in in the application process.,SOURCE_PATH_GOAL,
It's all downhill for the rest of the course.,SOURCE_PATH_GOAL,
He exercised to the point of exhaustion.,SOURCE_PATH_GOAL,
She squeezed her way to thinner thighs.,SOURCE_PATH_GOAL,
He drank himself out of the promotion.,SOURCE_PATH_GOAL,
He went on with what he was doing.,SOURCE_PATH_GOAL,
She went back to sleep.,SOURCE_PATH_GOAL,
She successfully navigated her way through the contract negotiations.,SOURCE_PATH_GOAL,
Regulations keep me from moving ahead with this housing project.,SOURCE_PATH_GOAL,
Sudden illness stopped his progress.,SOURCE_PATH_GOAL,
He's really gotten hung up at that step in the process.,SOURCE_PATH_GOAL,
He is so caught up in his work he can't do anything else.,SOURCE_PATH_GOAL,
He was held up in the meeting.,SOURCE_PATH_GOAL,
Our President will chart a path to prosperity.,SOURCE_PATH_GOAL,
We will navigate the choppy waters of recession into smooth fiscal sailing.,SOURCE_PATH_GOAL,
Pakistan's economy has ability to navigate through choppy waters.,SOURCE_PATH_GOAL,
Crime is stalking the youth of our major cities.,SOURCE_PATH_GOAL,
"gang crime ravages inner cities, destroys families, and causes whole neighborhoods to hunker down in fear ",SOURCE_PATH_GOAL,
Crime is a beast ravaging the city.,SOURCE_PATH_GOAL,
"His innocence had sent an intricate net of feelers snaking to- ward the world, but when would they be snapped.",SOURCE_PATH_GOAL,
The number of books printed each year is going up.,VERTICALITY,
My income rose last year.,VERTICALITY,
The number of errors made is incredibly low.,VERTICALITY,
He is underage.,VERTICALITY,
The number of books printed each year keeps going up.,VERTICALITY,
His draft number is high.,VERTICALITY,
My income rose last year.,VERTICALITY,
The amount of artistic activity in this state has gone down in the past year.,VERTICALITY,
The number of errors he made is incredibly low.,VERTICALITY,
His income fell last year.,VERTICALITY,
He is underage.,VERTICALITY,
"If you’re too hot, turn the heat down.",VERTICALITY,
An IQ of over 150.,VERTICALITY,
"Speak up, please.",VERTICALITY,
"Keep your voice down, please.",VERTICALITY,
Prices are high.,VERTICALITY,
Europeans are now complaining of high American interest rates.,VERTICALITY,
Home ownership involves higher indebtedness than renting a house does.,VERTICALITY,
The number of people living in poverty went up.,VERTICALITY,
Can you please decrease the number of assignments?,VERTICALITY,
Die Zinsen sind hoch.,VERTICALITY,
Indes habe das Angebot der Firma X um 30 Prozent höher gelegen.,VERTICALITY,
"… die USA, die … die mit Abstand höchste Privatverschuldung verzeichnen …",VERTICALITY,
"Die Einfuhr lag um 14 Prozent höher als vor einem Jahr, die Ausfuhr um 3,9 Prozent niedriger.",VERTICALITY,
XYZ-Aktien schlossen … niedriger …,VERTICALITY,
Bass closed sharply lower although above the worst of the session.,VERTICALITY,
…verramscht sie ihre Zigaretten unter Herstellungskosten…,VERTICALITY,
TTM hat über 90 Prozent Marktanteil…,VERTICALITY,
…Jugendlichen unter 17 Jahren.,VERTICALITY,
…ist chronisch unterernährt.,VERTICALITY,
…unter einer halben Million geht nichts mehr…,VERTICALITY,
…unterhalb der Armutsgrenze…,VERTICALITY,
…Löhne unter Tarif zuzulassen.,VERTICALITY,
…mit über 64 Jahren,VERTICALITY,
…um 435 Mill. unter dem Wert…,VERTICALITY,
…unter 60 DM.,VERTICALITY,
Da ist die steigende Kriminalität...,VERTICALITY,
…die Lautstärke…ganz erheblich erhöhen.,VERTICALITY,
…war der Wert der Objekte um das Zehnfache gestiegen.,VERTICALITY,
…Steuererhöhungen…,VERTICALITY,
…die Not selbst vergrößern…,VERTICALITY,
Das Bewusstsein dafür steigt…,VERTICALITY,
…einen Anstieg der Temperatur…,VERTICALITY,
…was den Subventionsbedarf …in die Höhe treibt.,VERTICALITY,
